id,lastLevel,totalSessions,dailySessions,totalAge,winRate,target
55953,1,3,1,6,1.0,0.225
55954,1243,2040,12,206,0.5553,0.6102
55955,49,24,6,3,0.9298,0.0
55956,1,1,1,0,1.0,0.0
55957,132,16,5,5,0.9127,0.2256
55958,6,3,3,0,1.0,0.2215
55959,242,7,2,1,0.619,0.0
55960,25,85,5,40,0.7364,0.0
55961,1,1,1,0,1.0,0.0
55962,9,1,1,0,1.0,0.0
55963,27,13,4,3,1.0,0.2289
55964,108,58,1,95,0.7567,0.2837
55965,7,7,1,49,1.0,0.2725
55966,22,5,2,14,0.8889,0.0
55967,11,2,1,16,0.9167,0.0
55968,222,70,4,70,0.7511,0.2729
55969,15,2,2,0,1.0,0.0
55970,9,3,1,21,1.0,0.2422
55971,94,20,5,34,0.7679,0.0
55972,162,168,2,86,0.4612,0.2228
55973,68,21,2,27,0.6574,0.0
55974,15,9,2,3,1.0,0.2249
55975,23,1,1,0,0.9375,0.0
55976,5,1,1,0,0.8333,0.0
55977,26,12,6,3,0.8782,0.0
55978,10,1,1,0,1.0,0.0
55979,120,440,31,13,0.7195,0.2454
55980,253,38,4,188,1.0,0.4572
55981,3,6,3,72,1.0,0.2995
55982,1,3,3,0,1.0,0.0
55983,24,4,4,0,1.0,0.2249
55984,290,250,11,22,0.6667,0.2284
55985,4,26,2,31,0.4,0.0
55986,28,3,1,1,0.9423,0.0
55987,1,1,1,0,1.0,0.0
55988,76,18,4,21,0.8904,0.2305
55989,111,191,5,73,0.7139,0.2629
55990,2,2,1,0,1.0,0.0
55991,11,3,1,4,1.0,0.2239
55992,7,2,1,3,1.0,0.2223
55993,1185,229,4,102,1.0,0.4817
55994,29,13,4,4,0.9828,0.2265
55995,9,8,2,6,1.0,0.2274
55996,1,2,1,0,1.0,0.0
55997,2,1,1,0,1.0,0.0
55998,1,2,2,0,1.0,0.0
55999,9,1,1,0,1.0,0.0
56000,25,13,4,1,0.9615,0.0
56001,108,74,2,79,0.8087,0.2798
56002,27,16,2,18,0.814,0.0
56003,18,3,3,0,0.9474,0.0
56004,6,9,9,0,1.0,0.2292
56005,1,2,2,0,1.0,0.0
56006,143,11,2,35,0.6786,0.0
56007,21,5,5,0,0.9762,0.0
56008,43,16,4,3,0.8379,0.0
56009,2,1,1,0,1.0,0.0
56010,1,4,1,3,1.0,0.2217
56011,4,1,1,0,1.0,0.0
56012,153,77,11,7,0.8483,0.2268
56013,27,4,1,7,0.9808,0.2249
56014,66,32,2,61,0.8992,0.2729
56015,586,276,6,46,0.9673,0.3495
56016,1441,85,1,89,1.0,0.4858
56017,36,6,2,3,0.125,0.0
56018,5,1,1,0,1.0,0.0
56019,5,3,1,0,1.0,0.0
56020,4,3,1,0,1.0,0.0
56021,10,3,1,3,1.0,0.2227
56022,45,13,2,5,0.9638,0.2228
56023,16,9,1,103,0.9792,0.3278
56024,27,15,1,10,0.8463,0.0
56025,21,4,1,2,1.0,0.223
56026,24,19,9,1,1.0,0.2329
56027,47,24,2,24,0.7959,0.0
56028,27,7,3,3,0.9211,0.0
56029,10,5,1,2,1.0,0.2218
56030,89,99,5,17,0.7066,0.0
56031,31,65,2,100,0.7138,0.2725
56032,16,1,1,0,1.0,0.0
56033,61,3,1,19,0.5,0.0
56034,9,12,2,8,1.0,0.2298
56035,10,14,3,20,1.0,0.2443
56036,634,405,6,255,0.4078,0.4667
56037,6,2,1,1,1.0,0.0
56038,100,217,3,78,0.536,0.2271
56039,3,3,3,0,1.0,0.0
56040,23,5,1,5,0.9783,0.2218
56041,9,7,2,27,1.0,0.2501
56042,23,3,1,8,0.9583,0.0
56043,1,1,1,0,1.0,0.0
56044,8,8,2,1,1.0,0.2218
56045,645,146,6,30,0.9093,0.3194
56046,11,7,3,1,1.0,0.2234
56047,3,2,2,0,1.0,0.0
56048,5,3,3,0,1.0,0.0
56049,1,1,1,0,0.5,0.0
56050,42,25,2,254,0.8159,0.4611
56051,62,63,12,4,0.7931,0.0
56052,1,1,1,0,1.0,0.0
56053,1,1,1,0,1.0,0.0
56054,15,8,4,2,0.9667,0.0
56055,15,5,1,282,1.0,0.5263
56056,23,2,2,0,0.9375,0.0
56057,3,1,1,0,1.0,0.0
56058,10,6,1,31,1.0,0.2533
56059,2,1,1,0,1.0,0.0
56060,3,1,1,0,0.8333,0.0
56061,87,9,4,16,0.9286,0.2342
56062,22,5,2,10,0.9444,0.0
56063,1,1,1,0,1.0,0.0
56064,14,1,1,0,1.0,0.0
56065,7,1,1,0,0.875,0.0
56066,9,6,3,18,1.0,0.2415
56067,9,1,1,0,1.0,0.0
56068,6,2,2,0,1.0,0.0
56069,3,2,1,1,1.0,0.0
56070,88,91,18,4,0.9786,0.2539
56071,673,64,5,38,1.0,0.3456
56072,7,4,2,17,0.9286,0.2233
56073,29,12,1,144,0.8725,0.3507
56074,209,188,2,107,0.568,0.2754
56075,23,3,1,16,1.0,0.2384
56076,26,4,2,19,0.8,0.0
56077,11,3,1,40,1.0,0.263
56078,125,4,1,2,0.3333,0.0
56079,76,14,3,62,0.8517,0.2651
56080,6,2,2,0,1.0,0.0
56081,7,6,1,78,1.0,0.304
56082,187,19,1,57,0.6395,0.2239
56083,5,1,1,0,0.8125,0.0
56084,2,1,1,0,1.0,0.0
56085,66,12,1,10,0.4833,0.0
56086,42,10,3,1,0.9222,0.0
56087,1,16,5,0,1.0,0.2241
56088,106,12,1,66,0.7381,0.2455
56089,6,10,10,0,1.0,0.2305
56090,1,2,2,0,1.0,0.0
56091,168,11,1,83,0.75,0.2737
56092,7,8,1,13,1.0,0.2335
56093,2,1,1,0,1.0,0.0
56094,10,1,1,0,1.0,0.0
56095,1,2,2,0,1.0,0.0
56096,22,11,1,261,1.0,0.5046
56097,8,4,4,0,0.8889,0.0
56098,9,1,1,0,0.8889,0.0
56099,23,11,1,8,0.8681,0.0
56100,10,10,1,331,0.95,0.5683
56101,1,1,1,0,1.0,0.0
56102,1,1,1,0,1.0,0.0
56103,308,166,5,42,0.6969,0.2469
56104,131,217,5,103,0.6264,0.28
56105,2,2,2,0,1.0,0.0
56106,4,2,1,3,1.0,0.222
56107,14,8,2,8,0.8333,0.0
56108,21,10,3,62,1.0,0.2909
56109,19,10,2,9,0.886,0.0
56110,159,301,3,134,0.5785,0.3084
56111,45,24,4,6,0.775,0.0
56112,10,7,1,23,1.0,0.2447
56113,4,4,4,0,1.0,0.2226
56114,43,17,5,2,0.8846,0.0
56115,3,5,2,0,1.0,0.0
56116,2,7,1,0,1.0,0.0
56117,28,7,7,0,0.9762,0.224
56118,14,2,2,0,1.0,0.0
56119,36,98,5,19,0.5949,0.0
56120,31,10,5,44,1.0,0.275
56121,6,2,2,0,1.0,0.0
56122,10,2,1,1,1.0,0.0
56123,1,1,1,0,1.0,0.0
56124,4,2,1,1,1.0,0.0
56125,215,107,3,84,0.844,0.3083
56126,3,3,3,0,1.0,0.0
56127,1,2,1,45,1.0,0.2672
56128,15,1,1,0,1.0,0.0
56129,1031,1,1,0,0.0,0.0
56130,30,5,2,2,0.9889,0.2229
56131,9,3,3,0,1.0,0.2218
56132,6,5,2,1,1.0,0.2214
56133,9,6,2,0,1.0,0.0
56134,23,3,1,1,0.9167,0.0
56135,14,10,1,28,1.0,0.2507
56136,1,1,1,0,1.0,0.0
56137,47,56,4,19,0.8748,0.2236
56138,279,35,5,5,0.3753,0.0
56139,258,7,1,125,0.3333,0.2385
56140,23,2,2,0,1.0,0.2222
56141,37,55,6,39,0.8186,0.2343
56142,1,1,1,0,1.0,0.0
56143,1,1,1,0,1.0,0.0
56144,49,55,2,329,0.7903,0.5394
56145,19,14,4,2,0.8333,0.0
56146,89,18,4,7,0.9444,0.2286
56147,41,24,2,182,0.8159,0.3828
56148,11,2,1,65,1.0,0.2901
56149,48,4,2,6,0.963,0.2236
56150,42,24,8,3,0.9512,0.2256
56151,9,2,2,0,1.0,0.0
56152,2,2,1,98,1.0,0.3249
56153,7,2,2,0,1.0,0.0
56154,24,11,1,7,0.9271,0.0
56155,56,25,2,184,0.6814,0.3574
56156,4,2,1,2,1.0,0.0
56157,44,22,2,29,0.9659,0.2497
56158,107,174,8,29,0.81,0.2384
56159,20,1,1,0,0.0,0.0
56160,2141,533,5,100,0.6667,0.5346
56161,5,10,3,168,1.0,0.4041
56162,14,2,1,2,1.0,0.2221
56163,3,2,2,0,1.0,0.0
56164,6,7,3,2,1.0,0.2239
56165,3,1,1,0,1.0,0.0
56166,475,17,4,100,0.4506,0.2663
56167,1500,114,1,155,1.0,0.5659
56168,6,3,3,0,1.0,0.2215
