time,value
1514764800,741.39001
1514768400,735.65997
1514772000,730.21002
1514775600,737.12
1514779200,747.08002
1514782800,750.65002
1514786400,762.03003
1514790000,762.9500099999999
1514793600,757.35999
1514797200,753.23999
1514800800,757.5499900000001
1514804400,757.64001
1514808000,750.03003
1514811600,749.6799900000001
1514815200,743.19
1514818800,749.84998
1514822400,748.53003
1514826000,746.46002
1514829600,744.98999
1514833200,749.4500099999999
1514836800,758.25
1514840400,765.2999900000001
1514844000,763.75
1514847600,756.4500099999999
1514851200,787.09003
1514854800,851.1500199999999
1514858400,882.60999
1514862000,857.85999
1514865600,844.5999800000001
1514869200,852.37
1514872800,852.7800300000001
1514876400,848.23999
1514880000,849.7700199999999
1514883600,842.6799900000001
1514887200,853.1500199999999
1514890800,856.69
1514894400,853.64001
1514898000,867.0700099999999
1514901600,869.9799800000001
1514905200,871.2899800000001
1514908800,875.1799900000001
1514912400,871.0700099999999
1514916000,873.9000199999999
1514919600,857.7100199999999
1514923200,859.5
1514926800,870.5300300000001
1514930400,868.69
1514934000,866.7999900000001
1514937600,880.2199699999999
1514941200,884.6500199999999
1514944800,869.9000199999999
1514948400,869.7299800000001
1514952000,869.2100199999999
1514955600,879.2000099999999
1514959200,881.5
1514962800,884.6799900000001
1514966400,883.56
1514970000,873.5399800000001
1514973600,861.19
1514977200,871.8400300000001
1514980800,872.7899800000001
1514984400,872.9699699999999
1514988000,878.69
1514991600,883.1500199999999
1514995200,881.6500199999999
1514998800,881.5200199999999
1515002400,924.4699699999999
1515006000,930.88
1515009600,925.8499800000001
1515013200,931.9500099999999
1515016800,947.1500199999999
1515020400,951.7000099999999
1515024000,941.5399800000001
1515027600,940.35999
1515031200,932.4000199999999
1515034800,933.51001
1515038400,932.2199699999999
1515042000,933.8300199999999
1515045600,937.7999900000001
1515049200,934.7700199999999
1515052800,943.6799900000001
1515056400,922.98999
1515060000,933.5200199999999
1515063600,947.4699699999999
1515067200,948.12
1515070800,979.3499800000001
1515074400,997.44
1515078000,992.12
1515081600,989.89001
1515085200,984.48999
1515088800,984.48999
1515092400,965.19
1515096000,954.5900300000001
1515099600,960.4500099999999
1515103200,958.06
1515106800,956.98999
1515110400,956.12
1515114000,972.4099699999999
1515117600,982.9299900000001
1515121200,991.2999900000001
1515124800,1001.01001
1515128400,1001.7700199999999
1515132000,1018.37
1515135600,1014.19
1515139200,1017.23999
1515142800,1011.0
1515146400,1000.4000199999999
1515150000,998.25
1515153600,997.4500099999999
1515157200,991.4799800000001
1515160800,979.51001
1515164400,979.4600199999999
1515168000,977.73999
1515171600,965.2100199999999
1515175200,962.19
1515178800,978.8400300000001
1515182400,981.9500099999999
1515186000,971.4600199999999
1515189600,964.06
1515193200,971.62
1515196800,977.44
1515200400,972.2800300000001
1515204000,981.0300300000001
1515207600,982.5900300000001
1515211200,984.7800300000001
1515214800,992.60999
1515218400,993.5200199999999
1515222000,995.48999
1515225600,996.3499800000001
1515229200,998.23999
1515232800,999.19
1515236400,999.5900300000001
1515240000,999.7199699999999
1515243600,998.5900300000001
1515247200,998.5800199999999
1515250800,1008.8300199999999
1515254400,1010.1699800000001
1515258000,1006.2199699999999
1515261600,1003.98999
1515265200,1004.26001
1515268800,1008.2000099999999
1515272400,1006.7100199999999
1515276000,1008.4099699999999
1515279600,1007.37
1515283200,1011.38
1515286800,1013.9799800000001
1515290400,1020.9699699999999
1515294000,1047.9699699999999
1515297600,1050.75
1515301200,1079.88
1515304800,1079.51001
1515308400,1074.5300300000001
1515312000,1075.22998
1515315600,1082.3499800000002
1515319200,1085.64001
1515322800,1083.48999
1515326400,1076.67004
1515330000,1074.47998
1515333600,1077.48999
1515337200,1090.9000199999998
1515340800,1100.17004
1515344400,1102.37
1515348000,1090.5999800000002
1515351600,1094.3499800000002
1515355200,1098.26001
1515358800,1095.5999800000002
1515362400,1092.44995
1515366000,1117.83997
1515369600,1175.89001
1515373200,1180.9699699999999
1515376800,1168.8499800000002
1515380400,1198.16003
1515384000,1227.80005
1515387600,1228.25
1515391200,1225.79004
1515394800,1225.98999
1515398400,1191.9000199999998
1515402000,1158.91003
1515405600,1152.32996
1515409200,1149.67004
1515412800,1144.5300300000001
1515416400,1145.87
1515420000,1080.06006
1515423600,1097.3499800000002
1515427200,1113.44995
1515430800,1113.0
1515434400,1129.8499800000002
1515438000,1156.7800300000001
1515441600,1153.7199699999999
1515445200,1169.51001
1515448800,1161.30005
1515452400,1140.54004
1515456000,1177.29004
1515459600,1178.26001
1515463200,1188.19995
1515466800,1205.1500199999998
1515470400,1214.25
1515474000,1215.57996
1515477600,1205.01001
1515481200,1214.88
1515484800,1249.07996
1515488400,1243.81995
1515492000,1223.94995
1515495600,1221.29004
1515499200,1219.05005
1515502800,1207.51001
1515506400,1198.31006
1515510000,1211.52002
1515513600,1212.9699699999999
1515517200,1210.9699699999999
1515520800,1212.68005
1515524400,1210.45996
1515528000,1237.64001
1515531600,1244.30005
1515535200,1300.30005
1515538800,1298.58997
1515542400,1291.93005
1515546000,1287.93994
1515549600,1299.87
1515553200,1351.3499800000002
1515556800,1385.2199699999999
1515560400,1385.0999800000002
1515564000,1381.3499800000002
1515567600,1368.89001
1515571200,1325.58997
1515574800,1314.85999
1515578400,1297.22998
1515582000,1352.12
1515585600,1351.6500199999998
1515589200,1351.17004
1515592800,1340.22998
1515596400,1351.64001
1515600000,1348.75
1515603600,1340.01001
1515607200,1328.97998
1515610800,1309.66003
1515614400,1304.87
1515618000,1311.79004
1515621600,1269.13
1515625200,1250.66003
1515628800,1333.92004
1515632400,1333.43005
1515636000,1311.23999
1515639600,1299.5999800000002
1515643200,1228.88
1515646800,1242.01001
1515650400,1211.0999800000002
1515654000,1234.91003
1515657600,1248.06006
1515661200,1244.23999
1515664800,1230.67004
1515668400,1195.67004
1515672000,1209.81995
1515675600,1205.76001
1515679200,1218.83997
1515682800,1236.80005
1515686400,1246.06995
1515690000,1232.44995
1515693600,1230.23999
1515697200,1223.5999800000002
1515700800,1195.4699699999999
1515704400,1184.94995
1515708000,1178.77002
1515711600,1146.44995
1515715200,1140.93994
1515718800,1180.13
1515722400,1189.85999
1515726000,1213.79004
1515729600,1213.63
1515733200,1224.01001
1515736800,1223.57996
1515740400,1221.1500199999998
1515744000,1210.5999800000002
1515747600,1194.7199699999999
1515751200,1222.10999
1515754800,1233.4699699999999
1515758400,1278.27002
1515762000,1287.06006
1515765600,1276.60999
1515769200,1273.04004
1515772800,1252.93005
1515776400,1248.85999
1515780000,1240.7800300000001
1515783600,1264.0999800000002
1515787200,1269.19995
1515790800,1262.33997
1515794400,1255.62
1515798000,1262.9000199999998
1515801600,1280.4000199999998
1515805200,1285.41003
1515808800,1292.19995
1515812400,1292.93994
1515816000,1292.62
1515819600,1320.08997
1515823200,1315.02002
1515826800,1336.83997
1515830400,1338.37
1515834000,1334.76001
1515837600,1338.20996
1515841200,1339.05005
1515844800,1359.43005
1515848400,1362.9699699999999
1515852000,1366.97998
1515855600,1358.0
1515859200,1368.2800300000001
1515862800,1393.32996
1515866400,1421.04004
1515870000,1422.85999
1515873600,1422.06995
1515877200,1422.69995
1515880800,1405.38
1515884400,1393.31995
1515888000,1385.48999
1515891600,1389.31995
1515895200,1386.97998
1515898800,1384.07996
1515902400,1384.47998
1515906000,1358.25
1515909600,1368.72998
1515913200,1357.57996
1515916800,1360.87
1515920400,1351.62
1515924000,1351.31995
1515927600,1346.52002
1515931200,1326.91003
1515934800,1338.67004
1515938400,1334.76001
1515942000,1317.56995
1515945600,1305.31006
1515949200,1322.30005
1515952800,1332.70996
1515956400,1332.76001
1515960000,1331.77002
1515963600,1327.68994
1515967200,1348.58997
1515970800,1369.48999
1515974400,1381.3499800000002
1515978000,1380.43994
1515981600,1341.93005
1515985200,1339.7800300000001
1515988800,1337.7199699999999
1515992400,1338.68005
1515996000,1349.06995
1515999600,1341.79004
1516003200,1328.20996
1516006800,1324.72998
1516010400,1330.06006
1516014000,1327.33997
1516017600,1327.31995
1516021200,1331.02002
1516024800,1316.73999
1516028400,1326.62
1516032000,1321.5
1516035600,1317.10999
1516039200,1317.0999800000002
1516042800,1315.3499800000002
1516046400,1320.98999
1516050000,1314.68005
1516053600,1313.0300300000001
1516057200,1301.38
1516060800,1282.27002
1516064400,1263.33997
1516068000,1261.68994
1516071600,1261.88
1516075200,1239.16003
1516078800,1241.77002
1516082400,1235.4699699999999
1516086000,1232.81995
1516089600,1166.79004
1516093200,1117.2199699999999
1516096800,1092.26001
1516100400,1157.97998
1516104000,1168.67004
1516107600,1132.88
1516111200,1119.85999
1516114800,1146.3499800000002
1516118400,1144.76001
1516122000,1117.80005
1516125600,1058.81995
1516129200,1093.69995
1516132800,1074.26001
1516136400,1037.31995
1516140000,1026.6500199999998
1516143600,1077.31995
1516147200,1115.66003
1516150800,1071.62
1516154400,1039.06995
1516158000,998.5300300000001
1516161600,1008.23999
1516165200,994.75
1516168800,1031.33997
1516172400,1019.6699800000001
1516176000,1003.44
1516179600,978.13
1516183200,931.2000099999999
1516186800,940.64001
1516190400,921.5300300000001
1516194000,894.2800300000001
1516197600,857.89001
1516201200,818.34003
1516204800,915.0700099999999
1516208400,925.25
1516212000,889.60999
1516215600,942.0800199999999
1516219200,994.4199800000001
1516222800,1053.5
1516226400,1072.0300300000001
1516230000,1036.05005
1516233600,1027.37
1516237200,1055.4000199999998
1516240800,1068.82996
1516244400,1067.62
1516248000,1040.0999800000002
1516251600,1000.4099699999999
1516255200,1016.0700099999999
1516258800,1009.5800199999999
1516262400,985.0399800000001
1516266000,1015.0999800000001
1516269600,1009.60999
1516273200,1042.9699699999999
1516276800,1076.76001
1516280400,1067.5300300000001
1516284000,1081.33997
1516287600,1093.9000199999998
1516291200,1091.2800300000001
1516294800,1076.39001
1516298400,1066.43994
1516302000,1075.67004
1516305600,1090.79004
1516309200,1086.1500199999998
1516312800,1051.60999
1516316400,1025.54004
1516320000,1047.47998
1516323600,1053.18005
1516327200,1044.62
1516330800,1010.1799900000001
1516334400,1028.0999800000002
1516338000,1033.20996
1516341600,1041.66003
1516345200,1030.72998
1516348800,1065.82996
1516352400,1064.14001
1516356000,1070.43005
1516359600,1050.17004
1516363200,1082.69995
1516366800,1083.62
1516370400,1068.81995
1516374000,1063.88
1516377600,1058.3499800000002
1516381200,1055.48999
1516384800,1032.9699699999999
1516388400,1032.68994
1516392000,1034.63
1516395600,1038.58997
1516399200,1027.83997
1516402800,1037.35999
1516406400,1049.82996
1516410000,1059.23999
1516413600,1064.55005
1516417200,1073.93005
1516420800,1090.5300300000001
1516424400,1119.22998
1516428000,1125.26001
1516431600,1121.06995
1516435200,1128.80005
1516438800,1127.81006
1516442400,1121.29004
1516446000,1123.33997
1516449600,1120.54004
1516453200,1131.39001
1516456800,1135.3499800000002
1516460400,1133.02002
1516464000,1156.98999
1516467600,1158.30005
1516471200,1164.62
1516474800,1161.47998
1516478400,1152.92004
1516482000,1158.75
1516485600,1159.2800300000001
1516489200,1155.27002
1516492800,1150.56995
1516496400,1126.0999800000002
1516500000,1142.81995
1516503600,1136.93005
1516507200,1129.0
1516510800,1111.17004
1516514400,1099.58997
1516518000,1081.94995
1516521600,1090.93005
1516525200,1074.80005
1516528800,1080.0
1516532400,1106.91003
1516536000,1114.27002
1516539600,1119.54004
1516543200,1112.67004
1516546800,1090.79004
1516550400,1055.27002
1516554000,1047.41003
1516557600,1046.43994
1516561200,1056.8499800000002
1516564800,1051.54004
1516568400,1033.1500199999998
1516572000,1050.19995
1516575600,1049.08997
1516579200,1067.93994
1516582800,1068.35999
1516586400,1051.94995
1516590000,1051.94995
1516593600,1069.31006
1516597200,1060.37
1516600800,1062.95996
1516604400,1072.17004
1516608000,1084.2800300000001
1516611600,1083.7199699999999
1516615200,1078.26001
1516618800,1079.91003
1516622400,1046.85999
1516626000,1034.56995
1516629600,1002.9699699999999
1516633200,987.56
1516636800,980.0499900000001
1516640400,996.4000199999999
1516644000,985.76001
1516647600,980.9000199999999
1516651200,977.8300199999999
1516654800,961.0300300000001
1516658400,987.64001
1516662000,1004.38
1516665600,1004.8499800000001
1516669200,1005.39001
1516672800,1001.9199800000001
1516676400,1011.9199800000001
1516680000,1005.9799800000001
1516683600,979.6799900000001
1516687200,975.5
1516690800,958.8300199999999
1516694400,976.23999
1516698000,976.7199699999999
1516701600,967.3400300000001
1516705200,949.4099699999999
1516708800,944.8200099999999
1516712400,945.2999900000001
1516716000,956.3499800000001
1516719600,990.12
1516723200,1020.2700199999999
1516726800,1019.85999
1516730400,1020.6599699999999
1516734000,1003.25
1516737600,1005.7100199999999
1516741200,1001.60999
1516744800,1011.0900300000001
1516748400,1003.8400300000001
1516752000,988.7899800000001
1516755600,980.5499900000001
1516759200,976.12
1516762800,988.3400300000001
1516766400,985.62
1516770000,979.4799800000001
1516773600,1000.01001
1516777200,1004.31
1516780800,1004.3300199999999
1516784400,1003.8300199999999
1516788000,1008.6599699999999
1516791600,1013.5499900000001
1516795200,1030.47998
1516798800,1028.77002
1516802400,1061.31006
1516806000,1044.47998
1516809600,1022.0999800000001
1516813200,1030.0300300000001
1516816800,1034.08997
1516820400,1034.19995
1516824000,1038.14001
1516827600,1043.37
1516831200,1041.4000199999998
1516834800,1062.5999800000002
1516838400,1061.79004
1516842000,1073.73999
1516845600,1091.02002
1516849200,1102.42004
1516852800,1096.51001
1516856400,1091.93994
1516860000,1090.13
1516863600,1081.32996
1516867200,1070.98999
1516870800,1062.07996
1516874400,1075.7199699999999
1516878000,1068.06006
1516881600,1051.97998
1516885200,1053.9000199999998
1516888800,1058.41003
1516892400,1046.22998
1516896000,1044.9000199999998
1516899600,1042.01001
1516903200,1064.39001
1516906800,1065.05005
1516910400,1079.43005
1516914000,1074.1500199999998
1516917600,1067.18994
1516921200,1057.41003
1516924800,1067.22998
1516928400,1066.93005
1516932000,1075.58997
1516935600,1071.92004
1516939200,1070.93005
1516942800,1068.06006
1516946400,1070.69995
1516950000,1068.92004
1516953600,1040.82996
1516957200,1024.67004
1516960800,1018.4500099999999
1516964400,1013.9099699999999
1516968000,1030.76001
1516971600,1032.30005
1516975200,1039.06995
1516978800,1051.5300300000001
1516982400,1062.58997
1516986000,1060.20996
1516989600,1058.8499800000002
1516993200,1044.8499800000002
1516996800,1047.0999800000002
1517000400,1041.33997
1517004000,1039.38
1517007600,1050.69995
1517011200,1055.04004
1517014800,1052.08997
1517018400,1057.05005
1517022000,1053.76001
1517025600,1053.93994
1517029200,1064.87
1517032800,1071.76001
1517036400,1067.39001
1517040000,1067.2800300000001
1517043600,1072.43005
1517047200,1073.91003
1517050800,1072.88
1517054400,1063.91003
1517058000,1066.56006
1517061600,1064.85999
1517065200,1093.10999
1517068800,1104.06995
1517072400,1106.0999800000002
1517076000,1100.79004
1517079600,1102.27002
1517083200,1120.81995
1517086800,1117.4699699999999
1517090400,1121.9000199999998
1517094000,1117.56995
1517097600,1119.18005
1517101200,1112.23999
1517104800,1111.43994
1517108400,1117.54004
1517112000,1137.10999
1517115600,1157.7199699999999
1517119200,1174.22998
1517122800,1174.91003
1517126400,1166.05005
1517130000,1174.29004
1517133600,1212.54004
1517137200,1232.16003
1517140800,1236.91003
1517144400,1217.48999
1517148000,1217.80005
1517151600,1211.07996
1517155200,1204.89001
1517158800,1210.06006
1517162400,1221.97998
1517166000,1214.75
1517169600,1219.18994
1517173200,1229.94995
1517176800,1240.4699699999999
1517180400,1236.88
1517184000,1240.31995
1517187600,1232.0300300000001
1517191200,1195.58997
1517194800,1194.77002
1517198400,1202.7199699999999
1517202000,1202.77002
1517205600,1200.93994
1517209200,1179.7199699999999
1517212800,1179.51001
1517216400,1177.16003
1517220000,1185.07996
1517223600,1183.55005
1517227200,1169.20996
1517230800,1177.01001
1517234400,1189.25
1517238000,1185.32996
1517241600,1186.31995
1517245200,1183.57996
1517248800,1178.31995
1517252400,1176.7800300000001
1517256000,1168.2800300000001
1517259600,1171.45996
1517263200,1172.52002
1517266800,1171.48999
1517270400,1173.0
1517274000,1170.9000199999998
1517277600,1147.33997
1517281200,1139.4699699999999
1517284800,1147.7199699999999
1517288400,1157.6500199999998
1517292000,1157.4699699999999
1517295600,1165.70996
1517299200,1173.18005
1517302800,1173.05005
1517306400,1164.20996
1517310000,1163.4699699999999
1517313600,1165.48999
1517317200,1155.48999
1517320800,1140.42004
1517324400,1134.63
1517328000,1123.1500199999998
1517331600,1124.42004
1517335200,1098.5
1517338800,1096.45996
1517342400,1095.23999
1517346000,1077.64001
1517349600,1094.91003
1517353200,1082.75
1517356800,1072.31006
1517360400,1053.39001
1517364000,1082.47998
1517367600,1078.18005
1517371200,1067.20996
1517374800,1067.08997
1517378400,1083.06995
1517382000,1099.47998
1517385600,1104.32996
1517389200,1090.42004
1517392800,1099.91003
1517396400,1108.75
1517400000,1121.68005
1517403600,1122.97998
1517407200,1110.55005
1517410800,1103.82996
1517414400,1101.38
1517418000,1112.64001
1517421600,1109.43005
1517425200,1101.55005
1517428800,1098.77002
1517432400,1100.32996
1517436000,1104.37
1517439600,1111.66003
1517443200,1124.7800300000001
1517446800,1123.80005
1517450400,1143.43005
1517454000,1151.81006
1517457600,1138.64001
1517461200,1155.57996
1517464800,1153.93005
1517468400,1143.5
1517472000,1134.12
1517475600,1129.12
1517479200,1101.0300300000001
1517482800,1119.25
1517486400,1123.4000199999998
1517490000,1137.81006
1517493600,1129.68994
1517497200,1105.92004
1517500800,1070.91003
1517504400,1073.0999800000002
1517508000,1052.56006
1517511600,1038.56006
1517515200,1029.3499800000002
1517518800,1039.35999
1517522400,1026.77002
1517526000,1036.52002
1517529600,1027.66003
1517533200,986.2999900000001
1517536800,982.06
1517540400,986.2800300000001
1517544000,968.19
1517547600,957.5499900000001
1517551200,932.9500099999999
1517554800,946.1599699999999
1517558400,914.9600199999999
1517562000,889.4099699999999
1517565600,881.6500199999999
1517569200,864.7999900000001
1517572800,856.01001
1517576400,964.2299800000001
1517580000,971.0999800000001
1517583600,967.0200199999999
1517587200,976.2299800000001
1517590800,964.5200199999999
1517594400,921.8200099999999
1517598000,902.51001
1517601600,914.37
1517605200,906.2800300000001
1517608800,909.7800300000001
1517612400,929.4500099999999
1517616000,923.5900300000001
1517619600,920.89001
1517623200,903.81
1517626800,894.9000199999999
1517630400,892.5700099999999
1517634000,885.56
1517637600,925.81
1517641200,928.0900300000001
1517644800,950.62
1517648400,953.94
1517652000,945.7100199999999
1517655600,963.25
1517659200,967.13
1517662800,985.2800300000001
1517666400,993.64001
1517670000,997.5999800000001
1517673600,981.5700099999999
1517677200,983.87
1517680800,983.7999900000001
1517684400,983.8300199999999
1517688000,988.75
1517691600,973.81
1517695200,967.25
1517698800,971.10999
1517702400,971.0499900000001
1517706000,956.2000099999999
1517709600,952.12
1517713200,962.0700099999999
1517716800,960.9699699999999
1517720400,961.5800199999999
1517724000,970.87
1517727600,964.1500199999999
1517731200,953.4299900000001
1517734800,932.9099699999999
1517738400,902.1799900000001
1517742000,915.4000199999999
1517745600,894.8200099999999
1517749200,895.4600199999999
1517752800,901.1500199999999
1517756400,887.64001
1517760000,874.56
1517763600,886.6699800000001
1517767200,882.2100199999999
1517770800,860.39001
1517774400,843.56
1517778000,834.23999
1517781600,850.51001
1517785200,850.9299900000001
1517788800,842.73999
1517792400,835.37
1517796000,830.41998
1517799600,840.8499800000001
1517803200,849.9699699999999
1517806800,857.8200099999999
1517810400,851.7000099999999
1517814000,836.0700099999999
1517817600,821.64001
1517821200,824.35999
1517824800,808.34998
1517828400,787.44
1517832000,787.7000099999999
1517835600,780.34003
1517839200,771.53003
1517842800,756.7999900000001
1517846400,740.87
1517850000,720.28003
1517853600,708.5499900000001
1517857200,680.22998
1517860800,750.03003
1517864400,735.5700099999999
1517868000,739.58002
1517871600,704.40997
1517875200,718.23999
1517878800,703.7000099999999
1517882400,663.87
1517886000,640.62
1517889600,626.0499900000001
1517893200,639.66998
1517896800,622.33002
1517900400,605.94
1517904000,594.40997
1517907600,671.81
1517911200,658.10999
1517914800,631.0499900000001
1517918400,668.9500099999999
1517922000,723.84003
1517925600,732.10999
1517929200,756.08002
1517932800,751.60999
1517936400,720.28003
1517940000,726.39001
1517943600,760.85999
1517947200,790.08002
1517950800,801.72998
1517954400,792.8200099999999
1517958000,797.98999
1517961600,792.34998
1517965200,785.33002
1517968800,783.0
1517972400,748.27002
1517976000,761.6799900000001
1517979600,760.35999
1517983200,752.46002
1517986800,778.7999900000001
1517990400,787.90002
1517994000,809.38
1517997600,831.62
1518001200,844.73999
1518004800,846.81
1518008400,858.2800300000001
1518012000,846.2299800000001
1518015600,835.10999
1518019200,824.72998
1518022800,843.87
1518026400,849.73999
1518030000,833.59003
1518033600,829.03003
1518037200,833.65997
1518040800,818.23999
1518044400,792.41998
1518048000,787.7999900000001
1518051600,793.34998
1518055200,816.48999
1518058800,813.0
1518062400,825.08002
1518066000,824.5499900000001
1518069600,807.96997
1518073200,831.7999900000001
1518076800,836.09003
1518080400,831.46002
1518084000,844.85999
1518087600,842.4199800000001
